ds,yhat,yhat_lower,yhat_upper
2020-01-22,-4219.420579434573,-38498.88612104995,28807.799584758155
2020-01-23,-3071.7300569004383,-37591.88111633007,34154.31286447608
2020-01-24,-1796.4462389635778,-38148.369290354414,34726.71211523688
2020-01-25,-795.1022299941355,-34420.37760577052,31030.018895045803
2020-01-26,346.3654268417042,-33979.395031410764,35215.45440362191
2020-01-27,855.7181408721613,-33295.763624880055,33186.9597444758
2020-01-28,-4708.208005277326,-39478.60468642619,29649.221311221256
2020-01-29,-3773.482605111539,-36291.732994661565,31188.804550847744
2020-01-30,-2625.7921091736835,-38234.65379628844,32870.77281908918
2020-01-31,-1350.5083178319508,-36948.05847912745,33828.6879954196
2020-02-01,-349.16433546095277,-33969.4797272691,33310.28251723415
2020-02-02,792.3032947858544,-33636.17907853751,35624.179100561254
2020-02-03,1301.6559822270233,-34408.61930326092,34250.49100625123
2020-02-04,-4262.269910205507,-37657.22999725274,30219.638558875384
2020-02-05,-3327.5442297045183,-39778.61667833542,32420.132888897784
2020-02-06,-2179.8534534472983,-38524.86690645248,31086.55903897159
2020-02-07,-904.5693817675901,-37328.360293104386,34411.152959681946
2020-02-08,96.77488093528075,-33815.194356006985,36833.48824314004
2020-02-09,1238.2427914973707,-34763.41201962753,33723.702018396456
2020-02-10,1747.5958018354684,-34737.006348939256,33586.12029503064
2020-02-11,-3816.330048017923,-35794.11903916335,34107.610185123354
2020-02-12,-2881.60432495722,-39915.89306760135,31355.153795158323
2020-02-13,-1733.9135061404165,-36518.01485513804,35150.92026946425
2020-02-14,-458.62939189284214,-36225.26541341883,33587.438950726195
2020-02-15,542.7149133746294,-33839.04494833901,37504.126439878004
2020-02-16,1684.1828707884422,-34104.69960406123,34641.536530278434
2020-02-17,2193.5358853979315,-31912.077187847615,36769.6694121274
2020-02-18,-3370.3899601787207,-38381.01703214855,29880.825167688625
2020-02-19,-2435.6642328404396,-36606.23346030374,31929.416154635248
2020-02-20,-1287.9734097290739,-35865.016103831826,32832.685378913004
2020-02-21,-12.689291218832267,-35229.79274816769,33099.395080497045
2020-02-22,988.6553447498519,-34107.53113188469,35253.886179099965
2020-02-23,2130.1236285990035,-31772.996116921706,36270.427519974546
2020-02-24,2639.4769696268136,-31062.89894344677,36579.77383279067
2020-02-25,-2924.4485495214763,-35234.690581203125,34078.36058176559
2020-02-26,-1989.7224957506025,-40672.07405911503,34707.60776233199
2020-02-27,-842.0313462270381,-32528.964281321718,36353.17015028267
2020-02-28,434.4530500950675,-33504.62840953339,32161.899090594485
2020-02-29,1436.9976374383143,-34722.35115873059,36427.95923917373
2020-03-01,2579.6658726575192,-32384.565631212292,37913.75891853824
